x,y,z,phi,theta,psi
4.1867e-05,-0.0033142,-0.00064468,1.4574,0.0143,0.0063564
4.1936e-05,-0.0033141,-0.00064811,1.4587,0.014316,0.0064071
4.2006e-05,-0.003314,-0.00065154,1.46,0.014332,0.0064579
4.2076e-05,-0.0033139,-0.00065498,1.4613,0.014348,0.0065087
4.2146e-05,-0.0033138,-0.00065842,1.4625,0.014364,0.0065595
4.2216e-05,-0.0033136,-0.00066186,1.4638,0.01438,0.0066103
4.2286e-05,-0.0033134,-0.00066531,1.465,0.014396,0.0066611
4.2357e-05,-0.0033132,-0.00066876,1.4663,0.014412,0.006712
4.2428e-05,-0.003313,-0.00067221,1.4675,0.014429,0.0067629
4.2498e-05,-0.0033127,-0.00067566,1.4687,0.014445,0.0068138
4.257e-05,-0.0033124,-0.00067911,1.4699,0.014461,0.0068647
4.2641e-05,-0.0033121,-0.00068257,1.4711,0.014477,0.0069157
4.2712e-05,-0.0033118,-0.00068603,1.4723,0.014493,0.0069667
4.2784e-05,-0.0033115,-0.00068949,1.4735,0.014509,0.0070177
4.2856e-05,-0.0033111,-0.00069295,1.4747,0.014525,0.0070687
4.2928e-05,-0.0033107,-0.00069642,1.4759,0.014541,0.0071197
4.3e-05,-0.0033103,-0.00069989,1.477,0.014557,0.0071707
4.3072e-05,-0.0033098,-0.00070336,1.4782,0.014573,0.0072218
4.3145e-05,-0.0033094,-0.00070683,1.4793,0.014589,0.0072729
4.3217e-05,-0.0033089,-0.0007103,1.4804,0.014605,0.007324
4.329e-05,-0.0033084,-0.00071378,1.4816,0.014621,0.0073751
4.3363e-05,-0.0033079,-0.00071725,1.4827,0.014637,0.0074262
4.3437e-05,-0.0033073,-0.00072073,1.4838,0.014653,0.0074774
4.351e-05,-0.0033068,-0.00072422,1.4849,0.014669,0.0075286
4.3584e-05,-0.0033062,-0.0007277,1.486,0.014685,0.0075797
4.3658e-05,-0.0033056,-0.00073118,1.4871,0.014701,0.0076309
4.3732e-05,-0.0033049,-0.00073467,1.4882,0.014717,0.0076821
