x,y,z,phi,theta,psi
4.6044e-07,2.8377e-08,0.17912,-1.6476e-08,-5.3232e-06,-8.3843e-08
4.6735e-07,2.9037e-08,0.18036,-1.6501e-08,-5.3653e-06,-8.4455e-08
4.7434e-07,2.9708e-08,0.18159,-1.6525e-08,-5.4076e-06,-8.5068e-08
4.814e-07,3.0392e-08,0.18283,-1.6549e-08,-5.4501e-06,-8.5684e-08
4.8854e-07,3.1088e-08,0.18408,-1.6573e-08,-5.4928e-06,-8.6301e-08
4.9575e-07,3.1797e-08,0.18532,-1.6598e-08,-5.5357e-06,-8.6921e-08
5.0303e-07,3.2518e-08,0.18657,-1.6622e-08,-5.5787e-06,-8.7542e-08
5.104e-07,3.3253e-08,0.18782,-1.6646e-08,-5.6219e-06,-8.8166e-08
5.1784e-07,3.4001e-08,0.18907,-1.667e-08,-5.6653e-06,-8.8792e-08
5.2535e-07,3.4762e-08,0.19032,-1.6694e-08,-5.7089e-06,-8.9419e-08
5.3295e-07,3.5537e-08,0.19158,-1.6718e-08,-5.7527e-06,-9.0049e-08
5.4062e-07,3.6325e-08,0.19284,-1.6742e-08,-5.7967e-06,-9.0681e-08
5.4837e-07,3.7127e-08,0.1941,-1.6766e-08,-5.8408e-06,-9.1315e-08
5.562e-07,3.7944e-08,0.19537,-1.679e-08,-5.8851e-06,-9.1951e-08
5.641e-07,3.8774e-08,0.19664,-1.6814e-08,-5.9297e-06,-9.2589e-08
5.7209e-07,3.9619e-08,0.19791,-1.6838e-08,-5.9744e-06,-9.3229e-08
5.8016e-07,4.0479e-08,0.19918,-1.6862e-08,-6.0192e-06,-9.3871e-08
5.8831e-07,4.1354e-08,0.20046,-1.6885e-08,-6.0643e-06,-9.4516e-08
5.9654e-07,4.2243e-08,0.20173,-1.6909e-08,-6.1096e-06,-9.5162e-08
6.0485e-07,4.3148e-08,0.20301,-1.6933e-08,-6.155e-06,-9.581e-08
6.1325e-07,4.4068e-08,0.20429,-1.6956e-08,-6.2006e-06,-9.646e-08
6.2172e-07,4.5004e-08,0.20558,-1.698e-08,-6.2464e-06,-9.7112e-08
6.3028e-07,4.5956e-08,0.20687,-1.7004e-08,-6.2924e-06,-9.7767e-08
6.3893e-07,4.6923e-08,0.20815,-1.7027e-08,-6.3386e-06,-9.8423e-08
6.4765e-07,4.7907e-08,0.20945,-1.7051e-08,-6.385e-06,-9.9081e-08
6.5646e-07,4.8907e-08,0.21074,-1.7074e-08,-6.4315e-06,-9.9742e-08
6.6536e-07,4.9924e-08,0.21204,-1.7098e-08,-6.4783e-06,-1.004e-07
6.7434e-07,5.0958e-08,0.21333,-1.7121e-08,-6.5252e-06,-1.0107e-07
6.8341e-07,5.2008e-08,0.21463,-1.7145e-08,-6.5723e-06,-1.0173e-07
6.9256e-07,5.3076e-08,0.21594,-1.7168e-08,-6.6196e-06,-1.024e-07
7.018e-07,5.4161e-08,0.21724,-1.7191e-08,-6.6671e-06,-1.0307e-07
7.1113e-07,5.5264e-08,0.21855,-1.7214e-08,-6.7148e-06,-1.0375e-07
7.2055e-07,5.6385e-08,0.21986,-1.7238e-08,-6.7626e-06,-1.0442e-07
7.3005e-07,5.7523e-08,0.22117,-1.7261e-08,-6.8107e-06,-1.051e-07
7.3964e-07,5.8681e-08,0.22248,-1.7284e-08,-6.8589e-06,-1.0578e-07
7.4933e-07,5.9856e-08,0.2238,-1.7307e-08,-6.9073e-06,-1.0646e-07
